id,ground_truth,human_label,ai_label,human_correct,ai_correct,case,support,ai_confidence
1,battery,battery,trash,1,0,human_right_ai_wrong,2500,0.55
2,battery,battery,battery,1,1,both_right,2500,0.933
3,battery,battery,battery,1,1,both_right,2500,0.913
4,battery,battery,battery,1,1,both_right,2500,0.967
5,battery,plastic,battery,0,1,ai_right_human_wrong,2500,0.944
6,battery,battery,battery,1,1,both_right,2500,0.893
7,battery,cardboard,battery,0,1,ai_right_human_wrong,2500,0.842
8,battery,battery,battery,1,1,both_right,2500,0.83
9,battery,battery,battery,1,1,both_right,2500,0.89
10,battery,biological,paper,0,0,both_wrong,2500,0.537
11,battery,battery,battery,1,1,both_right,2500,0.803
12,battery,battery,cardboard,1,0,human_right_ai_wrong,2500,0.792
13,battery,battery,battery,1,1,both_right,2500,0.965
14,battery,metal,battery,0,1,ai_right_human_wrong,2500,0.913
15,battery,battery,battery,1,1,both_right,2500,0.965
16,battery,battery,battery,1,1,both_right,2500,0.956
17,battery,battery,battery,1,1,both_right,2500,0.839
18,battery,cardboard,battery,0,1,ai_right_human_wrong,2500,0.932
19,battery,battery,battery,1,1,both_right,2500,0.85
20,battery,trash,battery,0,1,ai_right_human_wrong,2500,0.943
21,biological,biological,biological,1,1,both_right,3200,0.869
22,biological,biological,paper,1,0,human_right_ai_wrong,3200,0.651
23,biological,biological,biological,1,1,both_right,3200,0.95
24,biological,biological,biological,1,1,both_right,3200,0.911
25,biological,biological,paper,1,0,human_right_ai_wrong,3200,0.575
26,biological,biological,biological,1,1,both_right,3200,0.946
27,biological,biological,biological,1,1,both_right,3200,0.89
28,biological,paper,trash,0,0,both_wrong,3200,0.716
29,biological,biological,biological,1,1,both_right,3200,0.879
30,biological,glass,biological,0,1,ai_right_human_wrong,3200,0.804
31,biological,biological,metal,1,0,human_right_ai_wrong,3200,0.671
32,biological,biological,biological,1,1,both_right,3200,0.912
33,biological,biological,biological,1,1,both_right,3200,0.97
34,biological,metal,metal,0,0,both_wrong,3200,0.678
35,biological,biological,biological,1,1,both_right,3200,0.893
36,biological,biological,biological,1,1,both_right,3200,0.874
37,biological,paper,paper,0,0,both_wrong,3200,0.483
38,biological,biological,biological,1,1,both_right,3200,0.888
39,biological,metal,biological,0,1,ai_right_human_wrong,3200,0.934
40,biological,biological,biological,1,1,both_right,3200,0.877
41,biological,biological,biological,1,1,both_right,3200,0.855
